"cohort","mean","kin"
1936,4.08039529356457,"children"
1937,4.0661673808514,"children"
1938,4.02539027558648,"children"
1939,3.98314242839817,"children"
1940,3.96924542309312,"children"
1941,3.94518554627879,"children"
1942,3.92153146839657,"children"
1943,3.88976663715074,"children"
1944,3.88148399484018,"children"
1945,3.86772602531049,"children"
1946,3.87898773391869,"children"
1947,3.88966324753657,"children"
1948,3.90167716123201,"children"
1949,3.90286397601644,"children"
1950,3.89983179173055,"children"
1951,3.90006155362958,"children"
1952,3.88666836297562,"children"
1953,3.90137752171451,"children"
1954,3.87890820529155,"children"
1955,3.89189647594442,"children"
1956,3.89021621652729,"children"
1957,3.89752257839873,"children"
1958,3.87892613519138,"children"
1959,3.85927327161829,"children"
1960,3.83464297243294,"children"
1961,3.79957650223296,"children"
1962,3.79772349862209,"children"
1963,3.78123138532406,"children"
1964,3.77150239216855,"children"
1965,3.74894254273702,"children"
1966,3.71274888245896,"children"
1967,3.70209704313422,"children"
1968,3.67530042879695,"children"
1969,3.65563198102189,"children"
1970,3.65079324065584,"children"
1971,3.63825529005231,"children"
1972,3.61097034311802,"children"
1973,3.59650832045414,"children"
1974,3.57524063950994,"children"
1975,3.52420669549954,"children"
1976,3.46119344708887,"children"
1977,3.40760293942259,"children"
1978,3.31339632923997,"children"
1979,3.18526960868433,"children"
1980,3.05486488571239,"children"
1981,2.87599277835282,"children"
1982,2.66303409354799,"children"
1983,2.43748728769756,"children"
1984,2.19379502046004,"children"
1985,1.94408626692135,"children"
1986,1.6708507135265,"children"
1987,1.39165350366462,"children"
1988,1.14325617924976,"children"
1989,0.899322203763405,"children"
1990,0.682664014860039,"children"
1991,0.497157273797104,"children"
1992,0.340340744387206,"children"
1993,0.222349010806291,"children"
1994,0.139066721288918,"children"
1995,0.0866966075606039,"children"
1996,0.050949402867751,"children"
1997,0.0264407610298894,"children"
1998,0.0121200147356256,"children"
1999,0.00602224356994053,"children"
2000,0.00256240872409583,"children"
2001,0.00081415603553442,"children"
2002,0.000173997004770717,"children"
2003,8.47637211273574e-05,"children"
1932,1.98737012381012,"nephews/nieces"
1933,3.8507177876288,"nephews/nieces"
1934,4.80427431353983,"nephews/nieces"
1935,5.41354728074474,"nephews/nieces"
1936,5.8481762717816,"nephews/nieces"
1937,6.25878067640716,"nephews/nieces"
1938,6.62071697000958,"nephews/nieces"
1939,6.91273259674152,"nephews/nieces"
1940,7.26987644928135,"nephews/nieces"
1941,7.41198381802915,"nephews/nieces"
